event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000140416_14_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_15_canonical	T	T	T	T	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_15_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_16_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_16_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_17_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_17_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_18_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_18_alternative	T	T	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_19_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_19_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_20_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_20_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_21_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_21_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_22_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_22_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_23_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_23_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_24_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_24_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_25_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_25_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_26_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_26_alternative	T	T	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_27_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_27_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_28_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_28_alternative	F	F	F	T	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_29_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_29_alternative	T	F	F	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_30_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_30_alternative	F	T	F	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_31_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_31_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_32_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_32_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_33_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_33_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_34_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_34_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_35_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_35_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000139220_1_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_1_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_2_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_2_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_3_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_3_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_4_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_4_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_5_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_5_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_6_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_6_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_7_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_7_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_8_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_8_alternative	T	T	T	T	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_9_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_9_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_10_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
